x,y,z,T,Ux,Uy,Uz,p,source
4.7500,0.7500,0.0500,295.898,0.1444,0.3251,-0.0089,100032.00,vane25
4.8500,0.7500,0.0500,295.908,0.1555,0.3269,-0.0083,100032.00,vane25
4.9500,0.7500,0.0500,295.919,0.1648,0.3272,-0.0078,100032.00,vane25
5.0500,0.7500,0.0500,295.933,0.1723,0.3261,-0.0072,100032.00,vane25
5.1500,0.7500,0.0500,295.950,0.1781,0.3238,-0.0066,100032.00,vane25
5.2500,0.7500,0.0500,295.969,0.1820,0.3204,-0.0059,100032.00,vane25
5.3500,0.7500,0.0500,295.990,0.1842,0.3161,-0.0053,100032.00,vane25
5.4500,0.7500,0.0500,296.014,0.1847,0.3108,-0.0046,100032.00,vane25
5.5500,0.7500,0.0500,296.040,0.1835,0.3045,-0.0040,100032.00,vane25
5.6500,0.7500,0.0500,296.068,0.1808,0.2969,-0.0033,100032.00,vane25
5.7500,0.7500,0.0500,296.098,0.1777,0.2877,-0.0026,100032.00,vane25
2.2500,0.8500,0.0500,296.122,-0.1627,0.2865,0.0012,100032.00,vane25
2.3500,0.8500,0.0500,296.092,-0.1670,0.2958,0.0000,100032.00,vane25
2.4500,0.8500,0.0500,296.065,-0.1707,0.3030,-0.0009,100032.00,vane25
2.5500,0.8500,0.0500,296.041,-0.1725,0.3087,-0.0017,100032.00,vane25
2.6500,0.8500,0.0500,296.019,-0.1726,0.3132,-0.0024,100032.00,vane25
2.7500,0.8500,0.0500,296.000,-0.1709,0.3166,-0.0031,100032.00,vane25
2.8500,0.8500,0.0500,295.983,-0.1675,0.3190,-0.0036,100032.00,vane25
2.9500,0.8500,0.0500,295.968,-0.1624,0.3204,-0.0041,100032.00,vane25
3.0500,0.8500,0.0500,295.956,-0.1556,0.3205,-0.0045,100032.00,vane25
3.1500,0.8500,0.0500,295.947,-0.1471,0.3191,-0.0049,100032.00,vane25
3.2500,0.8500,0.0500,295.939,-0.1369,0.3162,-0.0054,100032.00,vane25
3.3500,0.8500,0.0500,295.934,-0.1250,0.3117,-0.0058,100032.00,vane25
