ix,iz,x,z,T
25,6,200.0,48.0,23.718
26,6,208.0,48.0,23.718
27,6,216.0,48.0,23.718
28,6,224.0,48.0,23.753
29,6,232.0,48.0,23.753
30,6,240.0,48.0,23.753
31,6,248.0,48.0,23.753
32,6,256.0,48.0,23.800
33,6,264.0,48.0,23.800
34,6,272.0,48.0,23.800
35,6,280.0,48.0,23.855
36,6,288.0,48.0,23.855
37,6,296.0,48.0,23.855
38,6,304.0,48.0,23.855
39,6,312.0,48.0,23.871
40,6,320.0,48.0,23.871
41,6,328.0,48.0,23.871
42,6,336.0,48.0,23.871
43,6,344.0,48.0,23.319
44,6,352.0,48.0,23.319
45,6,360.0,48.0,23.319
46,6,368.0,48.0,21.772
47,6,376.0,48.0,21.772
48,6,384.0,48.0,21.772
49,6,392.0,48.0,21.772
50,6,400.0,48.0,21.332
51,6,408.0,48.0,21.332
52,6,416.0,48.0,21.332
53,6,424.0,48.0,22.262
54,6,432.0,48.0,22.262
55,6,440.0,48.0,22.262
56,6,448.0,48.0,23.648
57,6,456.0,48.0,23.648
58,6,464.0,48.0,23.648
59,6,472.0,48.0,23.648
60,6,480.0,48.0,23.878
61,6,488.0,48.0,23.878
62,6,496.0,48.0,23.878
63,6,504.0,48.0,23.822
64,6,512.0,48.0,23.822
65,6,520.0,48.0,23.822
66,6,528.0,48.0,23.822
67,6,536.0,48.0,23.766
68,6,544.0,48.0,23.766
69,6,552.0,48.0,23.766
70,6,560.0,48.0,23.733
71,6,568.0,48.0,23.733
72,6,576.0,48.0,23.733
73,6,584.0,48.0,23.733
74,6,592.0,48.0,23.709
75,6,600.0,48.0,23.709
76,6,608.0,48.0,23.709
77,6,616.0,48.0,23.699
78,6,624.0,48.0,23.699
79,6,632.0,48.0,23.699
80,6,640.0,48.0,23.699
81,6,648.0,48.0,23.694
82,6,656.0,48.0,23.694
83,6,664.0,48.0,23.694
84,6,672.0,48.0,23.694
85,6,680.0,48.0,23.684
86,6,688.0,48.0,23.684
87,6,696.0,48.0,23.684
88,6,704.0,48.0,23.674
89,6,712.0,48.0,23.674
90,6,720.0,48.0,23.674
91,6,728.0,48.0,23.741
92,6,736.0,48.0,23.741
93,6,744.0,48.0,23.741
94,6,752.0,48.0,23.741
95,6,760.0,48.0,24.074
96,6,768.0,48.0,24.074
4,7,32.0,56.0,23.976
5,7,40.0,56.0,23.976
6,7,48.0,56.0,23.976
7,7,56.0,56.0,23.740
8,7,64.0,56.0,23.740
9,7,72.0,56.0,23.740
10,7,80.0,56.0,23.740
11,7,88.0,56.0,23.746
12,7,96.0,56.0,23.746
13,7,104.0,56.0,23.746
14,7,112.0,56.0,23.809
15,7,120.0,56.0,23.809
16,7,128.0,56.0,23.809
17,7,136.0,56.0,23.809
18,7,144.0,56.0,23.871
19,7,152.0,56.0,23.871
20,7,160.0,56.0,23.871
21,7,168.0,56.0,23.871
22,7,176.0,56.0,23.918
23,7,184.0,56.0,23.918
24,7,192.0,56.0,23.918
25,7,200.0,56.0,23.967
26,7,208.0,56.0,23.967
27,7,216.0,56.0,23.967
28,7,224.0,56.0,24.035
29,7,232.0,56.0,24.035
30,7,240.0,56.0,24.035
31,7,248.0,56.0,24.035
32,7,256.0,56.0,24.102
33,7,264.0,56.0,24.102
34,7,272.0,56.0,24.102
35,7,280.0,56.0,24.161
36,7,288.0,56.0,24.161
37,7,296.0,56.0,24.161
38,7,304.0,56.0,24.161
39,7,312.0,56.0,24.208
40,7,320.0,56.0,24.208
41,7,328.0,56.0,24.208
42,7,336.0,56.0,24.208
43,7,344.0,56.0,23.752
44,7,352.0,56.0,23.752
45,7,360.0,56.0,23.752
46,7,368.0,56.0,21.836
47,7,376.0,56.0,21.836
48,7,384.0,56.0,21.836
49,7,392.0,56.0,21.836
50,7,400.0,56.0,21.323
51,7,408.0,56.0,21.323
52,7,416.0,56.0,21.323
53,7,424.0,56.0,22.449
54,7,432.0,56.0,22.449
55,7,440.0,56.0,22.449
56,7,448.0,56.0,24.084
57,7,456.0,56.0,24.084
58,7,464.0,56.0,24.084
59,7,472.0,56.0,24.084
60,7,480.0,56.0,24.193
61,7,488.0,56.0,24.193
62,7,496.0,56.0,24.193
63,7,504.0,56.0,24.126
64,7,512.0,56.0,24.126
65,7,520.0,56.0,24.126
66,7,528.0,56.0,24.126
67,7,536.0,56.0,24.057
68,7,544.0,56.0,24.057
69,7,552.0,56.0,24.057
70,7,560.0,56.0,23.995
71,7,568.0,56.0,23.995
72,7,576.0,56.0,23.995
73,7,584.0,56.0,23.995
